Common Name,Specific Epithet,Guild,Foraging Type,Prey Items,Remarks
Jungle Bush Quail,Perdicula asiatica,Grainivore,Grazer,Seeds.Insects,
Domestic Fowl,,,,,
Coppersmith Barbet,Psilopogon haemacephalus,Frugivore,Browser,Fruits.Insects,
Black Bulbul,Hypsipetes leucocephalus,Frugivore,Browser,Fruits.Nectar.Insects,
Jungle Myna,Acridotheres fuscus,Omnivore,Active,Insects.Fruits.Seeds.Nectar,
Spotted Babler,Pellorneum ruficeps,Insectivore,Active,Insects,
Rose finch,Carpodacus erythrinus,Frugivore,Browser,Seeds.Fruits.Plants.Nectar.Insects,
White Bellied Blue Flycatcher,Cyornis pallidipes,Insectivore,Active,Insects.Fruits,
Black Shouldered Kite,Elanus axillaris,Carnivore,Active,Small mammals.Birds.Small reptiles.Insects,
Oriental Magpie Robin,Copsychus saularis,Insectivore,Active,Insects.Worms.Molluscs.Arthropods.Crustaeceans.Spiders.Small reptiles,
Golden Fronted Leafbird,Chloropsis aurifrons,Omnivore,Active,Insects.Fruits.Nectar,
Red Whiskered Bubul,Pycnonotus jocosus,Omnivore,Active,Fruits.Nectar.InsectsSpiders,
Common Tailor Bird,Orthotomus sutorius,Insectivore,Active,Insects.Nectar,
Red Spurfowl,Galloperdix spadicea,Frugivore,Browser,Seeds.Fruits.,
Perdicula spp.,,,,,
Yellow Throated Sparrow,Gymnoris xanthocollis,Grainivore,Grazer,Seeds.Fruits.Nectar.Insects ,
Oriental Trutle Dove,Streptopelia orientalis,Grainivore,Grazer,Seeds.Herbs.Plants,
Orange Minivet,Pericrocotus flammeus,Insectivore,Active,Insects.Spiders,
Little Egret,Egretta garzetta,Carnivore,Active,Insects.Crustaeceans.Fish.Anurans.Molluscs.Spiders.Worms.Small Reptiles.Birds,
Phylloscopus Spp.,,,,,
Tree Pipit,Anthus trivialis,Insectivore,Active,Insects,
Crimson Backed Sunbird,Leptocoma minima,Insectivore,Active,Insects.Spiders.Nectar,
Orange Headed Ground Thrush,Geokichla citrina,Omnivore,Active,Insects.Worms.Molluscs.Fruits.Seeds,
Monticola spp.,,,,,
Puff Throated Babler,Pellorneum ruficeps,Insectivore,Active,Insects,
Brown Cheeked Fulvetta,Alcippe poioicephala,Insectivore,Active,Insects.Nectar,
Malabar Whistling Thrush,Myophonus horsfieldii,Insectivore,Active,Insects.Molluscs.Crustaecenas,Aquatic
Blue Naped Monarch,Hypothymis azurea,Insectivore,Active,Insects,
Emerald Dove,Chalcophaps indica,Grainivore,Grazer,Seed.Fruits.Insects,
Golden Oriole,Oriolus kundoo,Omnivore,Active,Fruits.Nectar.Insects.Spiders,
Great Tit,Parus major,Omnivore,Active,Insects.Seeds.Arachnids.Molluscs.Crustaeceans.Fruits,
Indian Grey Hornbill,Ocyceros birostris,Frugivore,Browser,Fruits.Insects.Small reptiles.Small Mammals,
Sulphur Bellied Warbler,Phylloscopus griseolus,Insectivore,Active,Insects.Molluscs,
Tickle's Blue Flycatcher,Cyornis tickelliae,Insectivore,Active,Insects,
Bay Backed shrike,Lanius vittatus,Insectivore,Active,Insects.Small reptiles.Small Mammals.Birds,
Nilgiri Wood Pidgeon,Columba elphinstonii,Frugivore,Browser,Fruits.Molluscs,
Common Hawk Cuckoo,Hierococcyx varius,Omnivore,Active,Insects.Fruits.Small Reptiles,
Common Wood Shrike,Tephrodornis pondicerianus,Insectivore,Active,Insects.Spiders.Fruits,
Vigor's Sunbird,Aethopyga vigorsii,Frugivore,Browser,Nectar.Insects.Spiders,
White Rumped Shama,Copsychus malabaricus,Insectivore,Active,Insects.Worms.Fruits,
Malabar Lark,Galerida malabarica,Omnivore,Grazer,Seeds.Insects,
LAughing Dove,Streptopelia senegalensis,Grainivore,Grazer,Seeds.Fruits.Nectar.Insects,
Black Headed Oriole,Oriolus xanthornus,Frugivore,Browser,Fruits.Nectar.Insects,
Thick Billed Flowerpecker,Dicaeum agile,Frugivore,Browser,Fruits.InsectsSpiders,
Black Naped Monarch,Hypothymis azurea,Insectivore,Active,Insects,
Little Swift,Apus affinis,Insectivore,Active,Insects,
Pale-billed Flowerpecker,Dicaeum erythrorhynchos,Frugivore,Browser,"Fruits.Nectar,Insects.Spiders",
Brahminy Starling,Sturnia pagodarum,Omnivore,Active,Insects.Fruits.Nectar.Spiders.Molluscs,
Indian Bushlark,Mirafra erythroptera,,,,
Small Minivet,Pericrocotus cinnamomeus,Insectivore,Active,Insects,
Grey Heron,Ardea cinerea,Carnivore,Active,Fish.Anurans.Small Reptiles.Molluscs.Crustaeceans.Insects.Small mammals.Birds,
White Eyed Buzzard,Butastur teesa,Carnivore,Active,Small mammals.Small reptiles.Anurans.Insects.Crustaeceans.Birds,
Large Grey babler,Turdoides malcolmi,Insectivore,Active,Insects.Seeds.Fruits,
Brown Cheeked FUlvetta,Alcippe poioicephala,Insectivore,Active,Insects.Nectar,
White Browed Wagtail,Motacilla maderaspatensis,Insectivore,Active,Insects.Molluscs,
Little Stint,Calidris minuta,Insectivore,Active,Insects.Worms.Molluscs.Crustaeceans,
Tawny Bellied Babler,Dumetia hyperythra,Insectivore,Active,Insects.Nectar,
Turdoides spp.,,,,,
Little Cormorant,Microcarbo niger,Carnivore,Active,Fish,
Paddyfeild Pipit,Anthus rufulus,Insectivore,Active,Insects.Spiders,
Oriental Magpie RObin,Copsychus saularis,Insectivore,Active,Insects.Worms.Molluscs.Arthopods.Crustaeceans.Spiders.Small reptiles,
Oriental Honey Buzzard,Pernis ptilorhynchus,Insectivore,Active,Insects.Honey,Mainly bees and wasps
Paddyfeild Warbler,Acrocephalus agricola,Insectivore,Active,Insects.Spiders.Worms,
Indian Bushchat,Saxicola caprata,Insectivore,Active,Insects.Worms,
Racket Tailed Drongo,Dicrurus remifer,Insectivore,Active,Insects.Spiders.Nectar,
Jungle Prinia,Prinia sylvatica,Insectivore,Active,Insects.Spiders,
Jungle babler,Turdoides striata,Omnivore,Active,Insects.Spiders.Anurans.Seeds.Fruits.Nectar ,
Plum Headed parakeet,Psittacula cyanocephala,Frugivore,Browser,Fruits.Nectar.Plants,
Brown headed Barbet,Psilopogon zeylanicus,Frugivore,Browser,Fruits.Nectar.Insects.Small Reptiles,
Plain Prinia,Prinia inornata,Insectivore,Active,Insects,
Common Treepie,Dendrocitta vagabunda,Omnivore,Active,Insects.Spiders.Molluscs.Birds.Bird Eggs.Small Mammals.Small Reptiles.AnuransFruits.Nectar,
Plain Martin,Riparia paludicola,Insectivore,Active,Insects,
Taiga Flycatcher,Ficedula albicilla,Insectivore,Active,Insects.Spiders.Arthropods.Worms.Molluscs.Arachnids,
Intermediate Egret,Ardea intermedia,Carnivore,Active,Fish.Anurans.Small Reptiles.Insecys.Crustaeceans.Spirds.Worms.Insects,
Citrine Wagtail,Motacilla citreola,Insectivore,Active,Insects.Spiders,
Common Sandpiper,Actitis hypoleucos,Insectivore,Active,Insects.Spiders.Molluscs.Crustaeeans.Worms.Anurans.Fish,
Verditer Flycatcher,Eumyias thalassinus,Insectivore,Active,Insects.Fruits,
indian Robin,Copsychus fulicatus,Insectivore,Active,Insects.Spiders,
Black Eagle,Ictinaetus malaiensis,Carnivore,Active,Birds.Small Reptiles.Small Mammals.Insects,
Common Rosefinch,Carpodacus erythrinus,Grainivore,Grazer,Seeds.Nectar.Fruits.Insects,
Clamorous Reed Warbler,Acrocephalus stentoreus,Insectivore,Active,Insects.Seeds.Molluscs,
Eurasian Collared Dove,Streptopelia decaocto,Grainivore,Active,Seeds,
Ashy Prinia,Prinia socialis,Insectivore,Active,Insects.Spiders.Nectar,
Ashy Drongo,Dicrurus leucophaeus,Insectivore,Active,Insects.Nectar,
White Browed Fantail,Rhipidura aureola,Insectivore,Active,Insects,
Indian Silverbill,Euodice malabarica,Grainivore,Grazer,Seeds.Insects.Nectar,
Grey Francolin,Francolinus pondicerianus,Grainivore,Grazer,Seeds.Fruits,
