"","Common.Name","Specific.Epithet","Guild","Foraging.Type","Prey","Remarks"
"343","Black Headed Oriole","Oriolus xanthornus","Frugivore","Browser","Nectar",""
"344","Black Headed Oriole","Oriolus xanthornus","Frugivore","Browser","Insects",""
"345","Thick Billed Flowerpecker","Dicaeum agile","Frugivore","Browser","Fruits",""
"346","Thick Billed Flowerpecker","Dicaeum agile","Frugivore","Browser","InsectsSpiders",""
"347","Black Naped Monarch","Hypothymis azurea","Insectivore","Active","Insects",""
"348","Little Swift","Apus affinis","Insectivore","Active","Insects",""
"349","Pale-billed Flowerpecker","Dicaeum erythrorhynchos","Frugivore","Browser","Fruits",""
"350","Pale-billed Flowerpecker","Dicaeum erythrorhynchos","Frugivore","Browser","Nectar,Insects",""
"351","Pale-billed Flowerpecker","Dicaeum erythrorhynchos","Frugivore","Browser","Spiders",""
"352","Brahminy Starling","Sturnia pagodarum","Omnivore","Active","Insects",""
"353","Brahminy Starling","Sturnia pagodarum","Omnivore","Active","Fruits",""
"354","Brahminy Starling","Sturnia pagodarum","Omnivore","Active","Nectar",""
"355","Brahminy Starling","Sturnia pagodarum","Omnivore","Active","Spiders",""
"356","Brahminy Starling","Sturnia pagodarum","Omnivore","Active","Molluscs",""
"357","Small Minivet","Pericrocotus cinnamomeus","Insectivore","Active","Insects",""
"358","Grey Heron","Ardea cinerea","Carnivore","Active","Fish",""
"359","Grey Heron","Ardea cinerea","Carnivore","Active","Anurans",""
"360","Grey Heron","Ardea cinerea","Carnivore","Active","Small Reptiles",""
"361","Grey Heron","Ardea cinerea","Carnivore","Active","Molluscs",""
"362","Grey Heron","Ardea cinerea","Carnivore","Active","Crustaeceans",""
"363","Grey Heron","Ardea cinerea","Carnivore","Active","Insects",""
"364","Grey Heron","Ardea cinerea","Carnivore","Active","Small mammals",""
"365","Grey Heron","Ardea cinerea","Carnivore","Active","Birds",""
"366","White Eyed Buzzard","Butastur teesa","Carnivore","Active","Small mammals",""
"367","White Eyed Buzzard","Butastur teesa","Carnivore","Active","Small reptiles",""
"368","White Eyed Buzzard","Butastur teesa","Carnivore","Active","Anurans",""
"369","White Eyed Buzzard","Butastur teesa","Carnivore","Active","Insects",""
"370","White Eyed Buzzard","Butastur teesa","Carnivore","Active","Crustaeceans",""
"371","White Eyed Buzzard","Butastur teesa","Carnivore","Active","Birds",""
"372","Large Grey babler","Turdoides malcolmi","Insectivore","Active","Insects",""
"373","Large Grey babler","Turdoides malcolmi","Insectivore","Active","Seeds",""
"374","Large Grey babler","Turdoides malcolmi","Insectivore","Active","Fruits",""
"375","Brown Cheeked FUlvetta","Alcippe poioicephala","Insectivore","Active","Insects",""
"376","Brown Cheeked FUlvetta","Alcippe poioicephala","Insectivore","Active","Nectar",""
"377","White Browed Wagtail","Motacilla maderaspatensis","Insectivore","Active","Insects",""
"378","White Browed Wagtail","Motacilla maderaspatensis","Insectivore","Active","Molluscs",""
"379","Little Stint","Calidris minuta","Insectivore","Active","Insects",""
"380","Little Stint","Calidris minuta","Insectivore","Active","Worms",""
"381","Little Stint","Calidris minuta","Insectivore","Active","Molluscs",""
"382","Little Stint","Calidris minuta","Insectivore","Active","Crustaeceans",""
"383","Tawny Bellied Babler","Dumetia hyperythra","Insectivore","Active","Insects",""
"384","Tawny Bellied Babler","Dumetia hyperythra","Insectivore","Active","Nectar",""
"385","Little Cormorant","Microcarbo niger","Carnivore","Active","Fish",""
"386","Paddyfeild Pipit","Anthus rufulus","Insectivore","Active","Insects",""
"387","Paddyfeild Pipit","Anthus rufulus","Insectivore","Active","Spiders",""
"388","Oriental Magpie RObin","Copsychus saularis","Insectivore","Active","Insects",""
"389","Oriental Magpie RObin","Copsychus saularis","Insectivore","Active","Worms",""
"390","Oriental Magpie RObin","Copsychus saularis","Insectivore","Active","Molluscs",""
"391","Oriental Magpie RObin","Copsychus saularis","Insectivore","Active","Arthopods",""
"392","Oriental Magpie RObin","Copsychus saularis","Insectivore","Active","Crustaeceans",""
"393","Oriental Magpie RObin","Copsychus saularis","Insectivore","Active","Spiders",""
"394","Oriental Magpie RObin","Copsychus saularis","Insectivore","Active","Small reptiles",""
"395","Oriental Honey Buzzard","Pernis ptilorhynchus","Insectivore","Active","Insects","Mainly bees and wasps"
"396","Oriental Honey Buzzard","Pernis ptilorhynchus","Insectivore","Active","Honey","Mainly bees and wasps"
"397","Paddyfeild Warbler","Acrocephalus agricola","Insectivore","Active","Insects",""
"398","Paddyfeild Warbler","Acrocephalus agricola","Insectivore","Active","Spiders",""
"399","Paddyfeild Warbler","Acrocephalus agricola","Insectivore","Active","Worms",""
"400","Indian Bushchat","Saxicola caprata","Insectivore","Active","Insects",""
"401","Indian Bushchat","Saxicola caprata","Insectivore","Active","Worms",""
"402","Racket Tailed Drongo","Dicrurus remifer","Insectivore","Active","Insects",""
"403","Racket Tailed Drongo","Dicrurus remifer","Insectivore","Active","Spiders",""
"404","Racket Tailed Drongo","Dicrurus remifer","Insectivore","Active","Nectar",""
"405","Jungle Prinia","Prinia sylvatica","Insectivore","Active","Insects",""
"406","Jungle Prinia","Prinia sylvatica","Insectivore","Active","Spiders",""
"407","Jungle babler","Turdoides striata","Omnivore","Active","Insects",""
"408","Jungle babler","Turdoides striata","Omnivore","Active","Spiders",""
"409","Jungle babler","Turdoides striata","Omnivore","Active","Anurans",""
"410","Jungle babler","Turdoides striata","Omnivore","Active","Seeds",""
"411","Jungle babler","Turdoides striata","Omnivore","Active","Fruits",""
"412","Jungle babler","Turdoides striata","Omnivore","Active","Nectar ",""
"413","Plum Headed parakeet","Psittacula cyanocephala","Frugivore","Browser","Fruits",""
"414","Plum Headed parakeet","Psittacula cyanocephala","Frugivore","Browser","Nectar",""
"415","Plum Headed parakeet","Psittacula cyanocephala","Frugivore","Browser","Plants",""
"416","Brown headed Barbet","Psilopogon zeylanicus","Frugivore","Browser","Fruits",""
"417","Brown headed Barbet","Psilopogon zeylanicus","Frugivore","Browser","Nectar",""
"418","Brown headed Barbet","Psilopogon zeylanicus","Frugivore","Browser","Insects",""
"419","Brown headed Barbet","Psilopogon zeylanicus","Frugivore","Browser","Small Reptiles",""
"420","Plain Prinia","Prinia inornata","Insectivore","Active","Insects",""
"421","Common Treepie","Dendrocitta vagabunda","Omnivore","Active","Insects",""
"422","Common Treepie","Dendrocitta vagabunda","Omnivore","Active","Spiders",""
"423","Common Treepie","Dendrocitta vagabunda","Omnivore","Active","Molluscs",""
"424","Common Treepie","Dendrocitta vagabunda","Omnivore","Active","Birds",""
"425","Common Treepie","Dendrocitta vagabunda","Omnivore","Active","Bird Eggs",""
"426","Common Treepie","Dendrocitta vagabunda","Omnivore","Active","Small Mammals",""
"427","Common Treepie","Dendrocitta vagabunda","Omnivore","Active","Small Reptiles",""
"428","Common Treepie","Dendrocitta vagabunda","Omnivore","Active","AnuransFruits",""
"429","Common Treepie","Dendrocitta vagabunda","Omnivore","Active","Nectar",""
"430","Plain Martin","Riparia paludicola","Insectivore","Active","Insects",""
"431","Taiga Flycatcher","Ficedula albicilla","Insectivore","Active","Insects",""
"432","Taiga Flycatcher","Ficedula albicilla","Insectivore","Active","Spiders",""
"433","Taiga Flycatcher","Ficedula albicilla","Insectivore","Active","Arthropods",""
"434","Taiga Flycatcher","Ficedula albicilla","Insectivore","Active","Worms",""
"435","Taiga Flycatcher","Ficedula albicilla","Insectivore","Active","Molluscs",""
"436","Taiga Flycatcher","Ficedula albicilla","Insectivore","Active","Arachnids",""
"437","Intermediate Egret","Ardea intermedia","Carnivore","Active","Fish",""
"438","Intermediate Egret","Ardea intermedia","Carnivore","Active","Anurans",""
"439","Intermediate Egret","Ardea intermedia","Carnivore","Active","Small Reptiles",""
"440","Intermediate Egret","Ardea intermedia","Carnivore","Active","Insecys",""
"441","Intermediate Egret","Ardea intermedia","Carnivore","Active","Crustaeceans",""
"442","Intermediate Egret","Ardea intermedia","Carnivore","Active","Spirds",""
"443","Intermediate Egret","Ardea intermedia","Carnivore","Active","Worms",""
"444","Intermediate Egret","Ardea intermedia","Carnivore","Active","Insects",""
"445","Citrine Wagtail","Motacilla citreola","Insectivore","Active","Insects",""
"446","Citrine Wagtail","Motacilla citreola","Insectivore","Active","Spiders",""
"447","Common Sandpiper","Actitis hypoleucos","Insectivore","Active","Insects",""
"448","Common Sandpiper","Actitis hypoleucos","Insectivore","Active","Spiders",""
"449","Common Sandpiper","Actitis hypoleucos","Insectivore","Active","Molluscs",""
"450","Common Sandpiper","Actitis hypoleucos","Insectivore","Active","Crustaeeans",""
"451","Common Sandpiper","Actitis hypoleucos","Insectivore","Active","Worms",""
"452","Common Sandpiper","Actitis hypoleucos","Insectivore","Active","Anurans",""
"453","Common Sandpiper","Actitis hypoleucos","Insectivore","Active","Fish",""
"454","Verditer Flycatcher","Eumyias thalassinus","Insectivore","Active","Insects",""
"455","Verditer Flycatcher","Eumyias thalassinus","Insectivore","Active","Fruits",""
"456","indian Robin","Copsychus fulicatus","Insectivore","Active","Insects",""
"457","indian Robin","Copsychus fulicatus","Insectivore","Active","Spiders",""
"458","Black Eagle","Ictinaetus malaiensis","Carnivore","Active","Birds",""
"459","Black Eagle","Ictinaetus malaiensis","Carnivore","Active","Small Reptiles",""
"460","Black Eagle","Ictinaetus malaiensis","Carnivore","Active","Small Mammals",""
"461","Black Eagle","Ictinaetus malaiensis","Carnivore","Active","Insects",""
"462","Common Rosefinch","Carpodacus erythrinus","Grainivore","Grazer","Seeds",""
"463","Common Rosefinch","Carpodacus erythrinus","Grainivore","Grazer","Nectar",""
"464","Common Rosefinch","Carpodacus erythrinus","Grainivore","Grazer","Fruits",""
"465","Common Rosefinch","Carpodacus erythrinus","Grainivore","Grazer","Insects",""
"466","Clamorous Reed Warbler","Acrocephalus stentoreus","Insectivore","Active","Insects",""
"467","Clamorous Reed Warbler","Acrocephalus stentoreus","Insectivore","Active","Seeds",""
"468","Clamorous Reed Warbler","Acrocephalus stentoreus","Insectivore","Active","Molluscs",""
"469","Eurasian Collared Dove","Streptopelia decaocto","Grainivore","Active","Seeds",""
"470","Ashy Prinia","Prinia socialis","Insectivore","Active","Insects",""
"471","Ashy Prinia","Prinia socialis","Insectivore","Active","Spiders",""
"472","Ashy Prinia","Prinia socialis","Insectivore","Active","Nectar",""
"473","Ashy Drongo","Dicrurus leucophaeus","Insectivore","Active","Insects",""
"474","Ashy Drongo","Dicrurus leucophaeus","Insectivore","Active","Nectar",""
"475","White Browed Fantail","Rhipidura aureola","Insectivore","Active","Insects",""
"476","Indian Silverbill","Euodice malabarica","Grainivore","Grazer","Seeds",""
"477","Indian Silverbill","Euodice malabarica","Grainivore","Grazer","Insects",""
"478","Indian Silverbill","Euodice malabarica","Grainivore","Grazer","Nectar",""
"479","Grey Francolin","Francolinus pondicerianus","Grainivore","Grazer","Seeds",""
"480","Grey Francolin","Francolinus pondicerianus","Grainivore","Grazer","Fruits",""
