Common.Name,Family,Specific.Epithet,Guild,Hostplant.Family,Hostplant.Name,Country,Source
Chocolate Pansy,Nymphalidae,Junonia iphita,Herb Specialist,Acanthaceae,Strobilanthes,India,HOSTS
Chocolate Pansy,Nymphalidae,Junonia iphita,Herb Specialist,Acanthaceae,Strobilanthes,West Malaysia,HOSTS
Chocolate Pansy,Nymphalidae,Junonia iphita,Herb Specialist,Acanthaceae,Strobilanthes callosus,India,HOSTS
Chocolate Pansy,Nymphalidae,Junonia iphita,Herb Specialist,Acanthaceae,Strobilanthes formosanus,Taiwan,HOSTS
Chocolate Pansy,Nymphalidae,Junonia iphita,Herb Specialist,Acanthaceae,Strobilanthes formosanus,Taiwan,HOSTS
Common Emigrant,Pieridae,Catopsilia pomona,Generalist,Leguminosae (c),Cassia,India,HOSTS
Common Emigrant,Pieridae,Catopsilia pomona,Generalist,Leguminosae (c),Cassia fistula,India,HOSTS
Common Emigrant,Pieridae,Catopsilia pomona,Generalist,Leguminosae (c),Cassia fistula,India,HOSTS
Common Emigrant,Pieridae,Catopsilia pomona,Generalist,Leguminosae (c),Senna siamea,India,HOSTS
Pioneer,Pieridae,Belenois aurota,Shrub Specialist,Capparaceae,Boscia,Afrotropical,HOSTS
Pioneer,Pieridae,Belenois aurota,Shrub Specialist,Capparaceae,Capparis,Afrotropical,HOSTS
Pioneer,Pieridae,Belenois aurota,Shrub Specialist,Capparaceae,Capparis,India,HOSTS
Pioneer,Pieridae,Belenois aurota,Shrub Specialist,Capparaceae,Maerua,Afrotropical,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Tree Specialist,Leguminosae,,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Generalist,Leguminosae,,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Tree Specialist,Leguminosae (m),Acacia,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Generalist,Leguminosae (m),Acacia,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Tree Specialist,Leguminosae (p),Butea monosperma,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Generalist,Leguminosae (p),Butea monosperma,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Tree Specialist,Leguminosae (p),Cajanus cajan,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Generalist,Leguminosae (p),Cajanus cajan,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Tree Specialist,Leguminosae (p),Cajanus cajan,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Generalist,Leguminosae (p),Cajanus cajan,India,HOSTS
