"Common.Name","Specific.Epithet","Guild"
"White Rumped Shama","Copsychus malabaricus","Insectivore"
"Malabar Lark","Galerida malabarica","Omnivore"
"LAughing Dove","Streptopelia senegalensis","Grainivore"
"Black Headed Oriole","Oriolus xanthornus","Frugivore"
"Thick Billed Flowerpecker","Dicaeum agile","Frugivore"
"Black Naped Monarch","Hypothymis azurea","Insectivore"
"Little Swift","Apus affinis","Insectivore"
"Pale-billed Flowerpecker","Dicaeum erythrorhynchos","Frugivore"
"Brahminy Starling","Sturnia pagodarum","Omnivore"
"Small Minivet","Pericrocotus cinnamomeus","Insectivore"
"Grey Heron","Ardea cinerea","Carnivore"
"White Eyed Buzzard","Butastur teesa","Carnivore"
"Large Grey babler","Turdoides malcolmi","Insectivore"
"Brown Cheeked FUlvetta","Alcippe poioicephala","Insectivore"
"White Browed Wagtail","Motacilla maderaspatensis","Insectivore"
"Little Stint","Calidris minuta","Insectivore"
"Tawny Bellied Babler","Dumetia hyperythra","Insectivore"
"Little Cormorant","Microcarbo niger","Carnivore"
"Paddyfeild Pipit","Anthus rufulus","Insectivore"
"Oriental Magpie RObin","Copsychus saularis","Insectivore"
"Oriental Honey Buzzard","Pernis ptilorhynchus","Insectivore"
"Paddyfeild Warbler","Acrocephalus agricola","Insectivore"
"Indian Bushchat","Saxicola caprata","Insectivore"
"Racket Tailed Drongo","Dicrurus remifer","Insectivore"
"Jungle Prinia","Prinia sylvatica","Insectivore"
"Jungle babler","Turdoides striata","Omnivore"
"Plum Headed parakeet","Psittacula cyanocephala","Frugivore"
"Brown headed Barbet","Psilopogon zeylanicus","Frugivore"
"Plain Prinia","Prinia inornata","Insectivore"
"Common Treepie","Dendrocitta vagabunda","Omnivore"
"Plain Martin","Riparia paludicola","Insectivore"
"Taiga Flycatcher","Ficedula albicilla","Insectivore"
"Intermediate Egret","Ardea intermedia","Carnivore"
"Citrine Wagtail","Motacilla citreola","Insectivore"
"Common Sandpiper","Actitis hypoleucos","Insectivore"
"Verditer Flycatcher","Eumyias thalassinus","Insectivore"
"indian Robin","Copsychus fulicatus","Insectivore"
"Black Eagle","Ictinaetus malaiensis","Carnivore"
"Common Rosefinch","Carpodacus erythrinus","Grainivore"
"Clamorous Reed Warbler","Acrocephalus stentoreus","Insectivore"
"Eurasian Collared Dove","Streptopelia decaocto","Grainivore"
"Ashy Prinia","Prinia socialis","Insectivore"
"Ashy Drongo","Dicrurus leucophaeus","Insectivore"
"White Browed Fantail","Rhipidura aureola","Insectivore"
"Indian Silverbill","Euodice malabarica","Grainivore"
"Grey Francolin","Francolinus pondicerianus","Grainivore"
